Time(ms),Position_x,Position_y,Position_z,Rotation_x,Rotation_y,Rotation_z,Rotation_w, Speed (km/h) ,Steering Wheel Position_-1,Steering Wheel Position_1, Gas Pedal Position , Brake Pedal Position , Engine Running , Distance Ahead (meters), Time To Collision (sec) , Headway Time (sec)
1,-10.5,0.035,-230,-0.0015,1,-0.0014,0.0,5.25,-0.00135,0,0,TRUE,0,0,0,0.25777838
192,-10.5,0.101,-230,-0.0015,1,-0.0018,0.0,5.74,-0.00135,0,0,TRUE,0,0,0,0
389,-10.5,0.155,-230,-0.001,1,-0.0016,0.0,4.32,-0.00135,0,0,TRUE,0,0,0,0
527,-10.5,0.194,-230,-0.0005,1,-0.0014,0.0,2.91,-0.00135,0,0,TRUE,0,0,0,0
667,-10.5,0.216,-230,0.0,1,-0.0012,0.0,1.5,-0.00135,0,0,TRUE,0,0,0,0
805,-10.5,0.223,-230,0.0005,1,-0.001,0.0,0.08,-0.00135,0,0,TRUE,0,0,0,0
917,-10.5,0.214,-230,0.001,1,-0.0008,0.0,1.32,-0.00135,0,0,TRUE,0,0,0,0
1037,-10.5,0.19,-230,0.0014,1,-0.0006,0.0,2.73,-0.00135,0,0,TRUE,0,0,0,0
1174,-10.5,0.155,-230,0.0013,1,-0.0005,0.0,2.67,-0.00135,0,0,TRUE,0,0,0,0
1307,-10.5,0.139,-230,-0.0002,1,-0.0009,0.0,0.74,-0.00135,0,0,TRUE,0,0,0,0
1410,-10.5,0.141,-230,-0.0011,1,-0.0011,0.0,0.52,-0.00135,0,0,TRUE,0,0,0,0
1524,-10.501,0.148,-230,-0.0009,1,-0.0009,0.0,0.69,-0.00135,0,0,TRUE,0,0,0,0.058604192
1627,-10.5,0.154,-230,-0.0006,1,-0.0006,0.0,0.41,-0.00135,0,0,TRUE,0,0,0,-0.12419053
1741,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.13,-0.00135,0,0,TRUE,0,0,0,0
1838,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.01,-0.00135,0,0,TRUE,0,0,0,NaN
1935,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.06,-0.00135,0,0,TRUE,0,0,0,NaN
2047,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.05,-0.00135,0,0,TRUE,0,0,0,0
2143,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00135,0,0,TRUE,0,0,0,NaN
2247,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00135,0,0,TRUE,0,0,0,NaN
2348,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00135,0,0,TRUE,0,0,0,NaN
2453,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00135,0,0,TRUE,0,0,0,NaN
2541,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
2666,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
2757,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
2851,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
2939,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
3065,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
3155,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
3252,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,0
3342,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
3432,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
3526,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
3617,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
3705,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
3795,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
3888,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
3984,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
4116,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
4202,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
4287,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
4376,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
4464,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
4551,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
4636,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
4725,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
4810,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
4932,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
5019,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
5110,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
5200,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
5287,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
5374,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
5463,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
5550,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
5637,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
5723,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
5810,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
5927,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
6021,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
6114,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
6210,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
6299,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,0
6391,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
6479,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
6582,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
6675,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
6766,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
6851,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
6937,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
7028,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0,-0.00135,0,0,TRUE,0,0,0,NaN
