Time(ms),Position_x,Position_y,Position_z,Rotation_x,Rotation_y,Rotation_z,Rotation_w, Speed (km/h) ,Steering Wheel Position_-1,Steering Wheel Position_1, Gas Pedal Position , Brake Pedal Position , Engine Running , Distance Ahead (meters), Time To Collision (sec) , Headway Time (sec)
1,-10.5,0.035,-230,-0.0015,1,-0.0014,0.0,5.25,0.0,0,0,TRUE,0,0,0,0.20848535
156,-10.5,0.101,-230,-0.0015,1,-0.0018,0.0,5.74,0.0,0,0,TRUE,0,0,0,0
306,-10.5,0.155,-230,-0.001,1,-0.0016,0.0,4.32,0.0,0,0,TRUE,0,0,0,0
442,-10.5,0.194,-230,-0.0005,1,-0.0014,0.0,2.91,0.0,0,0,TRUE,0,0,0,0
572,-10.5,0.216,-230,0.0,1,-0.0012,0.0,1.5,0.0,0,0,TRUE,0,0,0,0
698,-10.5,0.223,-230,0.0005,1,-0.001,0.0,0.08,0.0,0,0,TRUE,0,0,0,0
835,-10.5,0.214,-230,0.0009,1,-0.0008,0.0,1.32,0.0,0,0,TRUE,0,0,0,0
1039,-10.5,0.19,-230,0.0014,1,-0.0006,0.0,2.73,-0.00311,0,0,TRUE,0,0,0,0
1221,-10.5,0.155,-230,0.0013,1,-0.0005,0.0,2.67,-0.00015,0.11111617,0,TRUE,0,0,0,0
1440,-10.5,0.139,-230,-0.0002,1,-0.0009,0.0,0.74,8e-05,0.17459375,0,TRUE,0,0,0,0
1567,-10.5,0.141,-230,-0.0011,1,-0.0011,0.0,0.52,8e-05,0.24205387,0,TRUE,0,0,0,0
1691,-10.501,0.148,-230,-0.0009,1,-0.0009,0.0,0.69,8e-05,0.26984054,0,TRUE,0,0,0,0.05387805
1818,-10.5,0.154,-230,-0.0006,1,-0.0006,0.0,0.41,8e-05,0.26984054,0,TRUE,0,0,0,-0.100721456
1934,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.13,8e-05,0.27380788,0,TRUE,0,0,0,0
2056,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.01,8e-05,0.3015793,0,TRUE,0,0,0,NaN
2187,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.06,8e-05,0.3333333,0,TRUE,0,0,0,NaN
2307,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.04,8e-05,0.34523535,0,TRUE,0,0,0,0
2417,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,8e-05,0.36903942,0,TRUE,0,0,0,NaN
2525,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0,5e-05,0.41269553,0,TRUE,0,0,0,NaN
2658,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00012,0.45236897,0,TRUE,0,0,0,NaN
2806,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00064,0.49205768,0,TRUE,0,0,0,NaN
2914,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0.04,-0.00064,0.5234455,0,TRUE,0,0,0,0
3069,-10.5,0.156,-229.998,-0.0004,1,-0.0005,0.0,0.08,-0.00064,0.58594644,0,TRUE,0,0,0,0
3176,-10.5,0.156,-229.997,-0.0004,1,-0.0005,0.0,0.14,-0.00069,0.6132906,0,TRUE,0,0,0,0
3316,-10.5,0.156,-229.995,-0.0004,1,-0.0005,0.0,0.23,-0.00111,0.63282216,0,TRUE,0,0,0,0
3454,-10.5,0.156,-229.992,-0.0004,1,-0.0006,0.0,0.33,-0.00193,0.6445411,0,TRUE,0,0,0,0
3629,-10.5,0.156,-229.987,-0.0004,1,-0.0006,0.0001,0.43,-0.00215,0.6914168,0,TRUE,0,0,0,0
3724,-10.5,0.156,-229.981,-0.0004,1,-0.0006,0.0001,0.56,-0.00215,0.71485466,0,TRUE,0,0,0,0
3820,-10.5,0.156,-229.974,-0.0004,1,-0.0006,0.0001,0.71,-0.00215,0.7031357,0,TRUE,0,0,0,0
3918,-10.5,0.156,-229.965,-0.0004,1,-0.0006,0.0001,0.86,-0.00215,0.7031357,0,TRUE,0,0,0,0
4027,-10.5,0.156,-229.954,-0.0004,1,-0.0006,0.0001,1.02,-0.00215,0.7382925,0,TRUE,0,0,0,0
4134,-10.5,0.156,-229.942,-0.0004,1,-0.0006,0.0001,1.19,-0.00215,0.785153,0,TRUE,0,0,0,0
4268,-10.5,0.156,-229.927,-0.0004,1,-0.0006,0.0001,1.4,-0.00215,0.81249714,0,TRUE,0,0,0,0
4359,-10.501,0.156,-229.91,-0.0004,1,-0.0006,0.0001,1.63,-0.00215,0.8007782,0,TRUE,0,0,0,0.041248053
4450,-10.501,0.156,-229.89,-0.0004,1,-0.0006,0.0002,1.87,-0.00215,0.7929656,0,TRUE,0,0,0,0
4544,-10.501,0.156,-229.868,-0.0004,1,-0.0006,0.0002,2.11,-0.00215,0.7890593,0,TRUE,0,0,0,0
4674,-10.501,0.156,-229.842,-0.0004,1,-0.0006,0.0002,2.36,-0.0025,0.785153,0,TRUE,0,0,0,0
4814,-10.501,0.156,-229.814,-0.0004,1,-0.0006,0.0002,2.61,-0.00395,0.785153,0,TRUE,0,0,0,0
4948,-10.501,0.156,-229.783,-0.0004,1,-0.0006,0.0003,2.87,-0.00441,0.785153,0,TRUE,0,0,0,0
5043,-10.501,0.156,-229.75,-0.0004,1,-0.0007,0.0003,3.14,-0.00441,0.7929656,0,TRUE,0,0,0,0
5129,-10.501,0.156,-229.713,-0.0004,1,-0.0007,0.0003,3.42,-0.00441,0.7929656,0,TRUE,0,0,0,0
5213,-10.501,0.156,-229.673,-0.0004,1,-0.0007,0.0004,3.7,-0.00441,0.7929656,0,TRUE,0,0,0,0
5299,-10.501,0.156,-229.63,-0.0004,1,-0.0007,0.0004,3.99,-0.00441,0.7929656,0,TRUE,0,0,0,0
5390,-10.501,0.156,-229.583,-0.0004,1,-0.0007,0.0005,4.29,-0.00441,0.7968719,0,TRUE,0,0,0,0
5479,-10.501,0.156,-229.533,-0.0004,1,-0.0007,0.0005,4.59,-0.00441,0.7968719,0,TRUE,0,0,0,0
5569,-10.502,0.156,-229.48,-0.0004,1,-0.0007,0.0006,4.9,-0.00441,0.7929656,0,TRUE,0,0,0,0.018036446
5701,-10.502,0.156,-229.423,-0.0004,1,-0.0007,0.0007,5.22,-0.00441,0.7890593,0,TRUE,0,0,0,0
5791,-10.502,0.156,-229.363,-0.0004,1,-0.0007,0.0007,5.53,-0.00441,0.7968719,0,TRUE,0,0,0,0
5885,-10.502,0.156,-229.299,-0.0004,1,-0.0007,0.0008,5.85,-0.00441,0.7968719,0,TRUE,0,0,0,0
5976,-10.503,0.156,-229.232,-0.0004,1,-0.0007,0.0009,6.18,-0.00441,0.7968719,0,TRUE,0,0,0,0.015038817
6074,-10.503,0.156,-229.161,-0.0004,1,-0.0007,0.001,6.5,-0.00441,0.8046845,0,TRUE,0,0,0,0
6165,-10.503,0.156,-229.086,-0.0004,1,-0.0007,0.001,6.83,-0.00441,0.81249714,0,TRUE,0,0,0,0
6253,-10.503,0.156,-229.008,-0.0004,1,-0.0007,0.0011,7.17,-0.00441,0.81249714,0,TRUE,0,0,0,0
6346,-10.504,0.156,-228.926,-0.0004,1,-0.0007,0.0012,7.51,-0.00441,0.82030976,0,TRUE,0,0,0,0.012376706
6446,-10.504,0.156,-228.84,-0.0004,1,-0.0007,0.0013,7.85,-0.00441,0.8398413,0,TRUE,0,0,0,0
6548,-10.505,0.156,-228.75,-0.0004,1,-0.0007,0.0014,8.21,-0.00441,0.85937285,0,TRUE,0,0,0,0.010897425
6644,-10.505,0.156,-228.657,-0.0004,1,-0.0007,0.0015,8.58,-0.00441,0.8671855,0,TRUE,0,0,0,0
6729,-10.506,0.156,-228.559,-0.0004,1,-0.0007,0.0016,8.95,-0.00441,0.8671855,0,TRUE,0,0,0,0.012331859
6828,-10.506,0.156,-228.457,-0.0004,1,-0.0007,0.0017,9.32,-0.00439,0.8710918,0,TRUE,0,0,0,0
6939,-10.507,0.156,-228.35,-0.0004,1,-0.0007,0.0018,9.69,-0.00422,0.8710918,0,TRUE,0,0,0,0.008657066
7056,-10.507,0.156,-228.24,-0.0004,1,-0.0007,0.0019,10.06,-0.00417,0.8710918,0,TRUE,0,0,0,0
7152,-10.508,0.156,-228.126,-0.0004,1,-0.0007,0.002,10.46,-0.00417,0.8710918,0,TRUE,0,0,0,0.010156542
7248,-10.509,0.156,-228.006,-0.0004,1,-0.0007,0.0021,10.87,-0.00417,0.8671855,0,TRUE,0,0,0,0.009879557
7341,-10.509,0.156,-227.883,-0.0004,1,-0.0007,0.0023,11.3,-0.00417,0.86327916,0,TRUE,0,0,0,0
7518,-10.51,0.156,-227.754,-0.0004,1,-0.0008,0.0024,11.74,-0.00334,0.85937285,0,TRUE,0,0,0,0.005354966
7658,-10.511,0.156,-227.62,-0.0004,1,-0.0008,0.0025,12.2,-0.00029,0.85937285,0,TRUE,0,0,0,0.006807115
7754,-10.512,0.156,-227.482,-0.0004,1,-0.0008,0.0026,12.67,-0.00025,0.85937285,0,TRUE,0,0,0,0.009858434
7840,-10.513,0.156,-227.337,-0.0004,1,-0.0008,0.0026,13.15,-0.00025,0.85937285,0,TRUE,0,0,0,0.010687
7927,-10.514,0.156,-227.188,-0.0004,1,-0.0008,0.0026,13.64,-0.00025,0.8671855,0,TRUE,0,0,0,0.010503849
8013,-10.514,0.156,-227.033,-0.0004,1,-0.0008,0.0027,14.16,-0.00025,0.8671855,0,TRUE,0,0,0,0
8101,-10.515,0.156,-226.872,-0.0004,1,-0.0008,0.0027,14.68,-0.00025,0.8671855,0,TRUE,0,0,0,0.010198373
8189,-10.516,0.156,-226.705,-0.0004,1,-0.0008,0.0027,15.21,-0.00025,0.8671855,0,TRUE,0,0,0,0.010012625
8276,-10.517,0.156,-226.532,-0.0004,1,-0.0008,0.0027,15.75,-0.00025,0.8671855,0,TRUE,0,0,0,0.009969738
8365,-10.518,0.156,-226.353,-0.0004,1,-0.0008,0.0028,16.29,-0.00025,0.8671855,0,TRUE,0,0,0,0.009410258
8450,-10.519,0.156,-226.168,-0.0004,1,-0.0008,0.0028,16.82,-0.00025,0.8671855,0,TRUE,0,0,0,0.009366055
8545,-10.52,0.156,-225.978,-0.0004,1,-0.0008,0.0028,17.36,-0.00025,0.85937285,0,TRUE,0,0,0,0.008313402
8636,-10.521,0.156,-225.782,-0.0004,1,-0.0008,0.0029,17.8,-0.00025,0.86327916,0,TRUE,0,0,0,0.006848713
8725,-10.523,0.156,-225.581,-0.0004,1,-0.0007,0.0029,18.12,-0.00025,0.86327916,0,TRUE,0,0,0,0.009936465
8814,-10.524,0.156,-225.378,-0.0004,1,-0.0007,0.0029,18.38,-0.00025,0.85937285,0,TRUE,0,0,0,0.003999251
8903,-10.525,0.156,-225.172,-0.0004,1,-0.0006,0.0029,18.62,-0.00025,0.85546654,0,TRUE,0,0,0,0.003634059
8989,-10.526,0.156,-224.964,-0.0004,1,-0.0006,0.0029,18.86,-0.00025,0.8554666,0,TRUE,0,0,0,0.003728487
9074,-10.528,0.156,-224.752,-0.0004,1,-0.0006,0.003,19.12,-0.00025,0.85546654,0,TRUE,0,0,0,0.008014642
9197,-10.529,0.156,-224.538,-0.0004,1,-0.0006,0.003,19.37,-0.00025,0.85546654,0,TRUE,0,0,0,0.002639249
9283,-10.53,0.156,-224.321,-0.0004,1,-0.0007,0.003,19.63,-0.00025,0.85546654,0,TRUE,0,0,0,0.003867908
9366,-10.532,0.156,-224.101,-0.0004,1,-0.0007,0.003,19.9,-0.00025,0.85546654,0,TRUE,0,0,0,0.008213711
9453,-10.533,0.156,-223.878,-0.0004,1,-0.0007,0.0031,20.17,-0.00025,0.85546654,0,TRUE,0,0,0,0.003867451
9542,-10.534,0.156,-223.652,-0.0004,1,-0.0007,0.0031,20.45,-0.00025,0.85937285,0,TRUE,0,0,0,0.003868157
9629,-10.536,0.156,-223.422,-0.0004,1,-0.0007,0.0031,20.74,-0.00025,0.85937285,0,TRUE,0,0,0,0.008050763
9719,-10.537,0.156,-223.19,-0.0004,1,-0.0007,0.0031,21.03,-0.00025,0.85937285,0,TRUE,0,0,0,0.003855971
9821,-10.539,0.156,-222.954,-0.0004,1,-0.0007,0.0031,21.32,-0.00025,0.85937285,0,TRUE,0,0,0,0.006691918
9911,-10.54,0.156,-222.715,-0.0004,1,-0.0007,0.0032,21.62,-0.00025,0.85937285,0,TRUE,0,0,0,0.00387574
10002,-10.542,0.156,-222.473,-0.0004,1,-0.0007,0.0032,21.93,-0.00025,0.8671855,0,TRUE,0,0,0,0.007819966
10087,-10.543,0.156,-222.227,-0.0004,1,-0.0007,0.0032,22.25,-0.00025,0.8671855,0,TRUE,0,0,0,0.004252665
10194,-10.545,0.156,-221.977,-0.0004,1,-0.0007,0.0032,22.57,-0.00032,0.8671855,0,TRUE,0,0,0,0.006645198
10350,-10.547,0.156,-221.724,-0.0004,1,-0.0007,0.0033,22.9,-0.00104,0.86327916,0,TRUE,0,0,0,0.004644521
10542,-10.548,0.156,-221.468,-0.0004,1,-0.0007,0.0033,23.23,-0.00196,0.85937285,0,TRUE,0,0,0,0.001865726
10652,-10.55,0.156,-221.207,-0.0004,1,-0.0007,0.0034,23.56,-0.00196,0.86327916,0,TRUE,0,0,0,0.006385006
10748,-10.552,0.156,-220.943,-0.0004,1,-0.0007,0.0035,23.9,-0.00196,0.8671855,0,TRUE,0,0,0,0.007452039
10867,-10.555,0.156,-220.675,-0.0004,1,-0.0007,0.0036,24.25,-0.00196,0.87109184,0,TRUE,0,0,0,0.009146014
10966,-10.557,0.156,-220.403,-0.0004,1,-0.0007,0.0037,24.6,-0.00196,0.8828107,0,TRUE,0,0,0,0.007220106
11057,-10.559,0.156,-220.127,-0.0004,1,-0.0007,0.0039,24.97,-0.00196,0.89062333,0,TRUE,0,0,0,0.008183387
11151,-10.562,0.156,-219.847,-0.0004,1,-0.0007,0.004,25.35,-0.00196,0.90234226,0,TRUE,0,0,0,0.012031845
11240,-10.564,0.156,-219.563,-0.0004,1,-0.0007,0.0041,25.73,-0.00196,0.90234226,0,TRUE,0,0,0,0.008351506
11338,-10.567,0.156,-219.274,-0.0004,1,-0.0007,0.0042,26.13,-0.00196,0.9101549,0,TRUE,0,0,0,0.011769728
11443,-10.569,0.156,-218.981,-0.0004,1,-0.0007,0.0044,26.53,-0.00196,0.9257801,0,TRUE,0,0,0,0.00722257
11528,-10.572,0.156,-218.683,-0.0004,1,-0.0007,0.0045,26.95,-0.00196,0.9296864,0,TRUE,0,0,0,0.013813521
11615,-10.575,0.156,-218.381,-0.0004,1,-0.0007,0.0046,27.37,-0.00196,0.9296864,0,TRUE,0,0,0,0.013321565
11703,-10.578,0.156,-218.073,-0.0004,1,-0.0007,0.0048,27.8,-0.00196,0.9296864,0,TRUE,0,0,0,0.013221206
11794,-10.582,0.156,-217.762,-0.0004,1,-0.0008,0.0049,28.23,-0.00196,0.9296864,0,TRUE,0,0,0,0.01687915
11883,-10.585,0.156,-217.445,-0.0004,1,-0.0008,0.005,28.67,-0.00196,0.93359274,0,TRUE,0,0,0,0.012997501
11974,-10.589,0.156,-217.123,-0.0004,1,-0.0008,0.0052,29.1,-0.00196,0.9296864,0,TRUE,0,0,0,0.016302554
12061,-10.592,0.156,-216.797,-0.0004,1,-0.0008,0.0053,29.54,-0.00196,0.9296864,0,TRUE,0,0,0,0.012928523
12144,-10.596,0.156,-216.466,-0.0004,1,-0.0008,0.0054,29.97,-0.00196,0.9296864,0,TRUE,0,0,0,0.017388552
12231,-10.6,0.156,-216.129,-0.0004,1,-0.0008,0.0056,30.41,-0.00196,0.9296864,0,TRUE,0,0,0,0.016676148
12316,-10.604,0.156,-215.789,-0.0004,1,-0.0008,0.0057,30.84,-0.00196,0.9296864,0,TRUE,0,0,0,0.016529953
12407,-10.608,0.156,-215.443,-0.0004,1,-0.0008,0.0059,31.27,-0.00196,0.9218738,0,TRUE,0,0,0,0.015171827
12495,-10.613,0.156,-215.092,-0.0004,1,-0.0007,0.006,31.69,-0.00196,0.9218738,0,TRUE,0,0,0,0.018884066
12582,-10.617,0.156,-214.737,-0.0004,1,-0.0007,0.0062,32.11,-0.00196,0.91796744,0,TRUE,0,0,0,0.015107948
12673,-10.622,0.156,-214.378,-0.0004,1,-0.0007,0.0063,32.52,-0.00196,0.91796744,0,TRUE,0,0,0,0.017429743
12762,-10.627,0.156,-214.014,-0.0004,1,-0.0007,0.0065,32.92,-0.00196,0.9140612,0,TRUE,0,0,0,0.017147643
12848,-10.632,0.156,-213.645,-0.0004,1,-0.0007,0.0066,33.32,-0.00196,0.9101549,0,TRUE,0,0,0,0.017505338
12932,-10.638,0.156,-213.272,-0.0004,1,-0.0007,0.0068,33.71,-0.00196,0.9101548,0,TRUE,0,0,0,0.020741284
13024,-10.643,0.156,-212.895,-0.0004,1,-0.0007,0.007,34.09,-0.00196,0.9101549,0,TRUE,0,0,0,0.015215848
13109,-10.649,0.156,-212.513,-0.0004,1,-0.0007,0.0071,34.46,-0.00196,0.9140612,0,TRUE,0,0,0,0.018990947
13200,-10.655,0.156,-212.128,-0.0004,1,-0.0007,0.0073,34.83,-0.00196,0.90624857,0,TRUE,0,0,0,0.017598417
13288,-10.661,0.156,-211.738,-0.0004,1,-0.0007,0.0074,35.19,-0.00196,0.91015494,0,TRUE,0,0,0,0.017481834
13412,-10.667,0.156,-211.345,-0.0004,1,-0.0007,0.0076,35.54,-0.00196,0.90624857,0,TRUE,0,0,0,0.011967883
13505,-10.673,0.156,-210.948,-0.0004,1,-0.0007,0.0078,35.88,-0.00196,0.90624857,0,TRUE,0,0,0,0.015347545
13592,-10.68,0.156,-210.547,-0.0004,1,-0.0007,0.0079,36.17,-0.00196,0.90624857,0,TRUE,0,0,0,0.016160563
13681,-10.687,0.156,-210.143,-0.0004,1,-0.0007,0.0081,36.4,-0.00196,0.90234226,0,TRUE,0,0,0,0.012436559
13769,-10.694,0.156,-209.738,-0.0004,1,-0.0006,0.0083,36.6,-0.00196,0.89843595,0,TRUE,0,0,0,0.010909775
13859,-10.701,0.156,-209.33,-0.0004,1,-0.0006,0.0084,36.79,-0.00196,0.90624857,0,TRUE,0,0,0,0.010059611
13942,-10.708,0.156,-208.92,-0.0004,1,-0.0006,0.0086,36.98,-0.00196,0.90624857,0,TRUE,0,0,0,0.01085463
14033,-10.715,0.156,-208.507,-0.0004,1,-0.0006,0.0087,37.18,-0.00196,0.90234226,0,TRUE,0,0,0,0.010346118
14124,-10.723,0.156,-208.093,-0.0004,1,-0.0006,0.0089,37.38,-0.00196,0.89062333,0,TRUE,0,0,0,0.011794061
14216,-10.731,0.156,-207.676,-0.0004,1,-0.0006,0.0091,37.58,-0.00196,0.8789044,0,TRUE,0,0,0,0.011583182
14305,-10.739,0.156,-207.257,-0.0004,1,-0.0006,0.0092,37.78,-0.00196,0.8789044,0,TRUE,0,0,0,0.011916733
14393,-10.747,0.156,-206.836,-0.0004,1,-0.0006,0.0094,37.97,-0.00196,0.8828107,0,TRUE,0,0,0,0.011393749
14478,-10.755,0.156,-206.413,-0.0004,1,-0.0006,0.0096,38.17,-0.00196,0.8828107,0,TRUE,0,0,0,0.012359189
14566,-10.764,0.156,-205.987,-0.0004,1,-0.0006,0.0097,38.37,-0.00196,0.8828107,0,TRUE,0,0,0,0.013334578
14681,-10.773,0.156,-205.559,-0.0004,1,-0.0006,0.0099,38.58,-0.00196,0.89452964,0,TRUE,0,0,0,0.010664132
14771,-10.781,0.156,-205.129,-0.0004,0.9999,-0.0006,0.0101,38.79,-0.00196,0.89843595,0,TRUE,0,0,0,0.012056772
14859,-10.791,0.156,-204.697,-0.0004,0.9999,-0.0006,0.0102,39,-0.00196,0.90624857,0,TRUE,0,0,0,0.015340891
14952,-10.8,0.156,-204.262,-0.0004,0.9999,-0.0006,0.0104,39.22,-0.00196,0.9218738,0,TRUE,0,0,0,0.013591855
15045,-10.809,0.156,-203.825,-0.0004,0.9999,-0.0006,0.0106,39.45,-0.00196,0.9335927,0,TRUE,0,0,0,0.014145086
15133,-10.819,0.156,-203.385,-0.0004,0.9999,-0.0006,0.0108,39.68,-0.00196,0.93359274,0,TRUE,0,0,0,0.016496226
15224,-10.829,0.156,-202.943,-0.0004,0.9999,-0.0006,0.0109,39.92,-0.00196,0.93749905,0,TRUE,0,0,0,0.01657062
15316,-10.839,0.156,-202.497,-0.0004,0.9999,-0.0006,0.0111,40.16,-0.00196,0.93749905,0,TRUE,0,0,0,0.016242364
15404,-10.849,0.156,-202.05,-0.0004,0.9999,-0.0006,0.0113,40.4,-0.00196,0.93359274,0,TRUE,0,0,0,0.016944613
