Time(ms),Position_x,Position_y,Position_z,Rotation_x,Rotation_y,Rotation_z,Rotation_w, Speed (km/h) ,Steering Wheel Position_-1,Steering Wheel Position_1, Gas Pedal Position , Brake Pedal Position , Engine Running , Distance Ahead (meters), Time To Collision (sec) , Headway Time (sec)
1,-10.5,0.035,-230,-0.0015,1,-0.0014,0.0,5.25,-0.00294,0,0,TRUE,0,0,0,0.2660273
182,-10.5,0.101,-230,-0.0015,1,-0.0018,0.0,5.74,-0.00294,0,0,TRUE,0,0,0,0
332,-10.5,0.155,-230,-0.001,1,-0.0016,0.0,4.32,-0.00294,0,0,TRUE,0,0,0,0
479,-10.5,0.194,-230,-0.0005,1,-0.0014,0.0,2.91,-0.00294,0,0,TRUE,0,0,0,0
600,-10.5,0.216,-230,0.0,1,-0.0012,0.0,1.5,-0.00294,0,0,TRUE,0,0,0,0
733,-10.5,0.223,-230,0.0005,1,-0.001,0.0,0.08,-0.00294,0,0,TRUE,0,0,0,0
848,-10.5,0.214,-230,0.001,1,-0.0008,0.0,1.32,-0.00294,0,0,TRUE,0,0,0,0
962,-10.5,0.19,-230,0.0015,1,-0.0006,0.0,2.73,-0.00294,0,0,TRUE,0,0,0,0
1060,-10.5,0.155,-230,0.0013,1,-0.0005,0.0,2.67,-0.00294,0,0,TRUE,0,0,0,0
1157,-10.5,0.139,-230,-0.0002,1,-0.0009,0.0,0.74,-0.00294,0,0,TRUE,0,0,0,0
1267,-10.5,0.141,-230,-0.0011,1,-0.0011,0.0,0.52,-0.00294,0,0,TRUE,0,0,0,0
1374,-10.501,0.148,-230,-0.0009,1,-0.0009,0.0,0.69,-0.00294,0,0,TRUE,0,0,0,0.062438115
1480,-10.5,0.154,-230,-0.0006,1,-0.0006,0.0,0.41,-0.00294,0,0,TRUE,0,0,0,-0.1206757
1593,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.13,-0.00294,0,0,TRUE,0,0,0,0
1682,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.01,-0.00294,0,0,TRUE,0,0,0,NaN
1771,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.06,-0.00294,0,0,TRUE,0,0,0,NaN
1860,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.05,-0.00294,0,0,TRUE,0,0,0,0
1963,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00294,0,0,TRUE,0,0,0,NaN
