Time(ms),Position_x,Position_y,Position_z,Rotation_x,Rotation_y,Rotation_z,Rotation_w, Speed (km/h) ,Steering Wheel Position_-1,Steering Wheel Position_1, Gas Pedal Position , Brake Pedal Position , Engine Running , Distance Ahead (meters), Time To Collision (sec) , Headway Time (sec)
1,-10.5,0.035,-230,-0.0015,1,-0.0014,0.0,5.25,0.00052,0,0,TRUE,0,0,0,0.20848535
189,-10.5,0.101,-230,-0.0015,1,-0.0018,0.0,5.74,0.00052,0,0,TRUE,0,0,0,0
352,-10.5,0.155,-230,-0.001,1,-0.0016,0.0,4.32,0.00052,0,0,TRUE,0,0,0,0
530,-10.5,0.194,-230,-0.0005,1,-0.0014,0.0,2.91,0.00052,0,0,TRUE,0,0,0,0
711,-10.5,0.216,-230,0.0,1,-0.0012,0.0,1.5,0.00027,0,0,TRUE,0,0,0,0
886,-10.5,0.223,-230,0.0005,1,-0.001,0.0,0.08,-0.00107,0,0,TRUE,0,0,0,0
1021,-10.5,0.214,-230,0.0009,1,-0.0008,0.0,1.32,-0.00112,0,0,TRUE,0,0,0,0
1142,-10.5,0.19,-230,0.0014,1,-0.0006,0.0,2.73,-0.00112,0,0,TRUE,0,0,0,0
1247,-10.5,0.155,-230,0.0013,1,-0.0005,0.0,2.67,-0.00112,0,0,TRUE,0,0,0,0
1352,-10.5,0.139,-230,-0.0002,1,-0.0009,0.0,0.74,-0.00112,0,0,TRUE,0,0,0,0
1447,-10.5,0.141,-230,-0.0011,1,-0.0011,0.0,0.52,-0.00112,0,0,TRUE,0,0,0,0
1577,-10.501,0.148,-230,-0.0009,1,-0.0009,0.0,0.69,-0.00112,0,0,TRUE,0,0,0,0.051391374
1712,-10.5,0.154,-230,-0.0006,1,-0.0006,0.0,0.41,-0.00112,0,0,TRUE,0,0,0,-0.09475277
1828,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.13,-0.00112,0,0,TRUE,0,0,0,0
1936,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.01,-0.00112,0,0,TRUE,0,0,0,NaN
2057,-10.5,0.157,-230,-0.0004,1,-0.0004,0.0,0.06,-0.00112,0,0,TRUE,0,0,0,NaN
2167,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.05,-0.00112,0,0,TRUE,0,0,0,0
2257,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.02,-0.00112,0,0,TRUE,0,0,0,NaN
2348,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00112,0,0,TRUE,0,0,0,NaN
2439,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00112,0,0,TRUE,0,0,0,NaN
2534,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00112,0,0,TRUE,0,0,0,NaN
2629,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00112,0,0,TRUE,0,0,0,NaN
2758,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00113,0,0,TRUE,0,0,0,NaN
2958,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00161,0,0,TRUE,0,0,0,NaN
3100,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00304,0,0,TRUE,0,0,0,NaN
3191,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00304,0,0,TRUE,0,0,0,NaN
3316,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00304,0,0,TRUE,0,0,0,NaN
3404,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00304,0,0,TRUE,0,0,0,NaN
3499,-10.5,0.156,-230,-0.0004,1,-0.0005,0.0,0.01,-0.00304,0,0,TRUE,0,0,0,NaN
3585,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0.01,-0.00304,0,0,TRUE,0,0,0,0
3678,-10.5,0.156,-229.999,-0.0004,1,-0.0005,0.0,0.01,-0.00304,0,0,TRUE,0,0,0,NaN
